"17","3","02:15:47"
"15","9","01:24:55"
"7","6","00:58:33"
"21","16","00:42:10"
"8","2","03:09:12"
"19","18","04:12:29"
"30","14","01:50:18"
"11","7","02:30:55"
"7","5","00:35:49"
"1","1","02:52:18"
"14","20","03:15:02"
"12","17","02:48:11"
"20","10","01:39:37"
"12","12","03:47:02"
"12","13","02:27:08"
"26","15","03:01:55"
"8","11","01:59:39"
"1","8","00:20:47"
"2","19","04:31:16"
"29","4","03:11:23"
"11","5","01:35:27"
"22","19","01:07:42"
"11","10","03:29:01"
"1","2","03:45:33"
"2","6","01:21:09"
"31","9","04:03:50"
"10","18","01:51:19"
"33","15","02:58:11"
"14","14","02:21:59"
"2","3","01:10:18"
"19","17","03:32:44"
"5","1","03:10:39"
"26","13","00:52:16"
"6","4","00:58:59"
"20","11","00:15:37"
"9","16","01:23:33"
"7","12","02:25:44"
"18","20","02:55:39"
"26","8","02:02:41"
"28","7","00:45:54"
"23","6","03:06:22"
"6","2","00:54:28"
"3","19","02:13:11"
"6","18","01:17:40"
"15","15","02:59:08"
"2","9","02:12:22"
"33","17","01:53:28"
"15","10","00:26:13"
"3","1","02:05:47"
"18","5","03:34:17"
"21","11","00:07:34"
"33","14","03:29:22"
"31","16","00:18:16"
"30","8","00:25:39"
"18","12","03:14:32"
"24","7","01:58:33"
"16","4","04:26:54"
"24","6","00:32:41"
"26","19","02:51:17"
"6","3","00:56:40"
"33","10","02:53:28"
"23","17","01:08:05"
"2","15","02:40:04"
"7","1","02:18:44"
"21","14","03:41:52"
"33","12","01:55:49"
"22","11","02:25:27"
"20","5","00:14:26"
"26","18","04:23:45"
"11","9","01:26:58"
"22","8","00:22:58"
"12","6","04:06:32"
"26","7","02:12:36"
"11","4","02:41:04"
"15","19","04:18:17"
"7","2","04:31:26"
"4","10","00:49:43"
"26","16","02:53:03"
"31","15","02:27:12"
"17","14","02:25:27"
"29","3","02:32:42"
"33","11","03:54:05"
"20","9","03:00:22"
"15","1","02:37:48"
"8","18","01:30:30"
"8","6","04:04:29"
"15","7","02:14:54"
"18","4","03:28:47"
"13","5","04:27:45"
"23","2","03:38:09"
"33","16","04:22:19"
"4","8","03:25:31"